,EMOTION,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31
0,Joy,0.46876326,0.47642604,0.44547313,0.4250196,0.41524637,0.42229688,0.38516343,0.42711413,0.4831552,0.4639491,0.4755214,0.49618044,-422.12457,101.37665,-3.1583636,34.9329,-18.705029,1.8923013,-6.842922,7.110716,0.6756678,-0.19395253,4.5060196,0.23815002,2.5654955,3.3136444,0.61231875,-1.345799,1.3623283,-7.7828274,5.5262084,-3.530347
1,Joy,0.34236708,0.3307361,0.34694824,0.31499314,0.26601,0.2993707,0.25359738,0.22526431,0.32904127,0.5171165,0.60602194,0.46904993,-413.16727,118.2025,-8.615111,33.090004,-15.182355,-2.8967493,-5.193885,8.148216,1.4794662,3.2329159,2.3747246,0.16491342,-4.453153,-0.91846156,-0.5063175,-8.743611,0.27493384,-10.581162,2.1115062,-5.3203177
2,Joy,0.41143915,0.4012898,0.27106786,0.18122442,0.19819406,0.2837244,0.2862627,0.25859967,0.32010427,0.41669407,0.5230577,0.44449043,-335.97855,149.18326,-15.722096,36.060997,1.3568549,3.6663017,-6.7495656,-8.724976,-9.860993,5.1087666,2.3449075,-1.8717568,5.6829004,-0.6655847,0.8806586,-2.4245842,-0.49849862,-7.348836,-1.4966652,-5.2041326
3,Joy,0.4865762,0.51295704,0.3719996,0.26927367,0.20571488,0.2027496,0.23825206,0.22045119,0.23573387,0.2568249,0.29654202,0.3883915,-253.75374,164.74646,-41.106407,45.422432,9.702436,-17.45673,-11.028472,-10.769931,-18.988497,2.502217,-9.21044,-7.7158065,7.5634546,-1.6249146,1.6027256,-3.6498206,-1.8623102,-8.307039,-0.73616564,-6.725817
4,Joy,0.3997839,0.56832343,0.50983655,0.3079148,0.19142152,0.17202853,0.27336457,0.3751678,0.2713697,0.30664682,0.384688,0.40106726,-320.55933,138.74554,-17.238308,53.058533,-0.042719476,-3.2362564,-10.875917,-6.9641747,-11.009499,1.3921776,-1.0975028,-4.321143,4.2448635,0.95657194,2.3537805,-2.8636742,1.8148195,-6.634666,-0.41991594,-6.314841
5,Joy,0.42878544,0.45646548,0.378718,0.30891493,0.2807351,0.31576166,0.36031,0.3130502,0.3547938,0.51659286,0.57454574,0.48971546,-363.6688,137.3637,-6.3784842,39.09866,-0.6916637,1.3984076,-5.9733434,-7.1210036,-3.1155682,3.1619284,2.573095,1.5965942,4.8327394,-0.3966552,1.2051171,-0.8563382,0.042689264,-5.880427,-2.0056136,-5.86918
6,Joy,0.5971833,0.49513552,0.44003898,0.40414172,0.36619902,0.36369187,0.3880436,0.40618962,0.40149412,0.50214076,0.6746618,0.7461268,-429.804,141.58644,-5.7926636,36.91404,2.782036,11.06926,0.032783285,-3.2373123,-4.79536,4.1182017,3.8738344,1.6493307,7.0547266,1.0114979,2.335206,-2.8593194,2.2729566,-6.632159,-2.627808,-0.82506305
7,Joy,0.38882154,0.41537285,0.31245095,0.24440351,0.25299126,0.29837224,0.36943132,0.36617696,0.34660593,0.4392638,0.53194004,0.46223697,-327.13742,131.01302,-5.8255033,37.98371,-5.879624,-0.46725792,-2.631067,-6.2140255,-8.160573,2.7071257,2.6800752,-1.7832669,3.587152,1.5249261,2.304056,-1.3518531,0.83681613,-6.3034062,-1.3487738,-4.4486895
8,Joy,0.35732147,0.4339162,0.40216398,0.296732,0.29044637,0.3560918,0.43420437,0.37943396,0.40099284,0.52020395,0.6225572,0.50027865,-383.96478,147.98001,-13.325164,31.821049,-10.411735,3.3167498,0.08436266,-4.257438,-6.0400867,3.985083,2.8341556,-0.037594732,5.5324473,0.891096,3.3510046,-2.3935804,0.6835078,-6.4186034,-0.33773178,-2.9338675
9,Joy,0.4051549,0.3163237,0.27672276,0.26581344,0.2503833,0.28589782,0.33500946,0.3415111,0.42177144,0.4418526,0.46049318,0.39984855,-324.3597,134.70805,-27.753942,57.35699,3.9478486,-0.77530515,-12.399193,-11.474961,-9.52504,3.2502997,2.166796,-3.5701907,3.1783338,1.9433935,1.4780344,-2.797131,2.538178,-8.187566,-1.3178827,-4.683026
10,Joy,0.35674465,0.40317664,0.37488145,0.32127422,0.34495783,0.46283448,0.44363308,0.40597296,0.4692426,0.5981541,0.59032977,0.4248334,-406.467,114.51357,-14.704292,45.805534,-7.3921065,14.735139,-12.967829,1.8356848,-8.267162,8.248063,6.486019,-1.9483349,8.6793785,-3.8932922,2.746745,-0.26952913,2.7896743,-5.9713097,3.1250696,-5.378958
11,Joy,0.4381639,0.48304233,0.440447,0.37951413,0.40670237,0.4472933,0.36529967,0.33885208,0.39997855,0.5494966,0.59960264,0.45659685,-355.96136,129.6318,-16.38163,40.85234,-7.675101,14.406213,-6.5110426,-5.71625,-5.159329,4.600107,6.1717896,0.7518376,5.8297,0.19041559,0.69075084,-3.1397939,1.4290112,-7.216203,-0.16739649,-5.5459237
12,Joy,0.61354107,0.5511813,0.49445033,0.49090657,0.49499893,0.5178554,0.5091851,0.48938644,0.5694453,0.6307224,0.5814908,0.5662229,-406.90955,106.00254,8.275649,29.477829,15.148407,6.0533,3.1837974,-3.6377637,1.0378411,7.829461,7.731846,4.9855747,6.348039,5.2198935,1.8568732,0.9051146,-0.41901463,-2.2245157,0.5293882,-1.7730455
13,Joy,0.39723927,0.39477783,0.36229232,0.37670618,0.37578583,0.40851104,0.406623,0.40498596,0.4417333,0.45382065,0.4977431,0.47626057,-353.6546,114.22022,-31.529348,32.268456,-6.6493616,-10.008862,-12.838124,0.5423926,3.160375,0.95224065,-0.1252454,4.4968615,-2.2176952,1.4471468,4.1381793,-7.18819,2.9381936,-5.2281833,1.5352391,0.9655451
14,Surprise,0.43489727,0.4728205,0.43392974,0.41094625,0.33901474,0.3008324,0.2983086,0.26549622,0.26911762,0.3481995,0.48246554,0.5460797,-357.77707,139.75584,-10.293244,33.432697,-1.6890931,-12.491401,-0.8392322,-7.150474,-11.722103,1.1467675,0.08816349,0.9685765,2.1421018,-0.30753288,-0.677184,-4.2478805,0.3680165,-6.6573634,-1.4058923,-3.8870592
15,Surprise,0.452473,0.4413635,0.34463903,0.30504462,0.27232993,0.27400166,0.2330197,0.21523602,0.3120087,0.4291036,0.47183028,0.42186412,-308.72357,140.5324,-19.946314,41.773987,-3.1296701,-5.279272,-4.3815737,-7.7023506,-16.05269,0.5509337,1.0172207,-0.83431876,2.598821,-0.53618705,0.85589236,-6.718283,-0.33790573,-8.14693,-2.146013,-4.8849072
16,Joy,0.5396254,0.47009403,0.34087682,0.3803649,0.382188,0.37502673,0.4865357,0.36761925,0.2854129,0.36758852,0.49851516,0.7202159,-370.50534,155.92262,-30.031174,25.254015,-29.22325,6.3188133,2.8077443,1.100598,-12.015404,12.272738,7.418215,-3.9725075,12.95462,3.5843124,3.2790935,-8.907636,-1.0098414,-10.903621,-4.7397833,-1.0986818
17,Joy,0.57727593,0.4901274,0.40735444,0.37726685,0.36684322,0.38471955,0.3678842,0.38802898,0.490341,0.55254585,0.5325902,0.5746616,-402.7916,104.27935,-20.301876,25.852789,1.476742,-9.316545,-13.040415,3.958683,10.049934,-1.5588872,-2.7982745,6.0701575,0.25838074,2.3257189,1.3993059,-2.775335,3.9236362,-2.0722163,3.9571006,0.13278764
18,Joy,0.37075678,0.3410169,0.30403543,0.29431766,0.2742761,0.32532427,0.37480128,0.4207734,0.46972567,0.38801703,0.3750807,0.3998235,-340.29095,112.79528,-4.7905574,13.897509,-13.791359,-5.776967,-7.3239574,-3.9172266,-3.4065926,-0.22549063,0.4711417,2.603576,-3.9593005,1.5653148,2.196339,-6.06793,5.2680674,-1.1381749,2.212066,-0.58327675
19,Surprise,0.45697016,0.43535224,0.31468406,0.26283553,0.25561088,0.25468352,0.29110587,0.3095451,0.47903955,0.5514185,0.52031904,0.47189662,-453.0057,130.7113,-8.57331,32.599007,-22.185411,3.9436488,-9.465461,4.656719,1.289754,-3.2192636,2.0626202,3.5428064,-4.123602,-3.0181823,1.1472478,-5.966551,9.605423,-7.5191216,-0.3107664,-1.9722784
20,Joy,0.28257516,0.2883265,0.25741276,0.28209212,0.24391434,0.2260743,0.215735,0.2281363,0.34709945,0.36530796,0.35951754,0.31765956,-331.2397,119.51378,-22.574226,31.483578,-13.173781,-16.475357,-14.507644,-2.3958838,-1.2214117,-2.73423,-0.4058757,4.7301326,-7.2991147,3.590542,2.33401,-11.195094,4.0673375,-8.657784,-0.7132132,-2.2730732
21,Joy,0.22688258,0.25815234,0.2959506,0.30761173,0.2663702,0.2449294,0.18513042,0.2480867,0.3548704,0.34332246,0.34763446,0.30142993,-341.57916,112.87051,-12.244964,26.0946,-20.033846,-15.46672,-4.6277714,-5.5000553,-7.0164943,-0.6439357,-0.87297094,5.6571984,-7.252514,-0.81086147,4.5486326,-8.3660755,2.8571913,-6.8472714,-2.6479375,-4.806522
22,Joy,0.34059677,0.2890833,0.24684568,0.21461572,0.24023136,0.27938375,0.2612728,0.24795616,0.24405831,0.2752704,0.2933599,0.27787596,-321.5782,121.79572,-27.563921,20.990038,-16.23795,-17.890581,-11.177377,-4.9547696,-3.7720225,0.25182408,-2.603342,3.2136767,-2.3942096,2.1269295,2.177944,-8.250044,5.804513,-2.347313,1.6693664,0.9559451
23,Joy,0.39580944,0.3935861,0.38738823,0.3921072,0.3334166,0.35133126,0.3567521,0.33413136,0.37639904,0.3914837,0.43949166,0.421768,-343.46875,111.510635,-27.922112,32.280407,-5.9069905,-14.910691,-13.567938,-1.9804239,-0.07637602,-3.02261,-0.574144,7.736207,-2.6249602,0.7433836,4.6275363,-5.60946,4.799255,-2.7061718,-0.36046496,-1.8995897
